KIC TYC ra dec numax sig_numax dnu sig_dnu teff sig_teff logg sig_logg feh sig_feh plx sig_plx btmag sig_btmag vtmag sig_vtmag gmag sig_gmag rmag sig_rmag imag sig_imag zmag sig_zmag jmag sig_jmag hmag sig_hmag kmag sig_kmag clump src
     2010607     2666-899-1   290.50564050    37.45901000   674.919   138.543    42.479     1.374  6227.0    77.3     3.794     0.089    -0.010     0.101     1.27182241     0.34764207  11.837   0.078  11.411   0.089  11.564   0.020  11.238   0.020  11.170   0.020  11.164   0.020  10.427   0.020  10.204   0.021  10.155   0.019  0  spc
     2013502     2666-485-1   291.19104400    37.49404100    60.626     0.994     5.671     0.046  4912.2    86.0     2.696     0.008    -0.017     0.060     0.45700946     0.40703472  12.564   0.238  11.610   0.136  12.781   0.020  11.862   0.020  11.497   0.020  11.266   0.020  10.163   0.020   9.620   0.019   9.489   0.018  1  apo
     2015820      2666-29-1   291.73994400    37.46765100    45.280     0.830     4.629     0.014  4853.2    86.0     2.566     0.009    -0.047     0.060     1.27040672     0.36858657  11.338   0.061  10.033   0.030  10.255   0.020   9.455   0.020   9.165   0.020   8.990   0.020   7.941   0.019   7.417   0.020   7.314   0.017  1  apo
     2016706      2666-41-1   291.94449700    37.46106300    38.360     0.627     4.356     0.030  4820.8    86.0     2.493     0.008    -0.107     0.060     0.74376696     0.34437013  12.667   0.232  11.155   0.080  11.475   0.020  10.523   0.020  10.187   0.020  10.005   0.020   8.920   0.023   8.382   0.021   8.248   0.018  1  apo
     2141928     3120-540-1   286.42258700    37.52396800    33.792     0.933     4.146     0.045  4689.0    86.0     2.432     0.013     0.098     0.060     0.82664818     0.27073264  12.194   0.138  11.208   0.081  11.585   0.020  10.644   0.020  10.311   0.020  10.115   0.020   9.007   0.024   8.473   0.023   8.310   0.017  1  apo
     2157901    3134-2085-1   290.92394100    37.58831400    28.285     1.750     3.811     0.053  4774.5    86.0     2.358     0.027    -0.222     0.060     1.05412495     0.28963351  12.689   0.246  11.471   0.109  11.984   0.020  11.059   0.020  10.739   0.020  10.537   0.020   9.409   0.020   8.871   0.026   8.737   0.017 -1  apo
     2164327     3134-119-1   292.32742400    37.58877600    44.562     1.060     4.661     0.027  4858.3    86.0     2.559     0.011     0.004     0.060     0.83646125     0.31281522  12.302   0.154  11.173   0.077  11.567   0.020  10.731   0.020  10.444   0.020  10.274   0.020   9.217   0.021   8.669   0.021   8.552   0.019  1  apo
     2164874     3134-196-1   292.44451800    37.55455800    12.404     0.740     1.759     0.044  4414.4    86.0     1.983     0.026     0.161     0.060     1.54378712     0.50969398  13.325   0.303  11.351   0.085  12.073   0.020  10.891   0.020  10.471   0.020  10.190   0.020   8.975   0.024   8.306   0.016   8.155   0.017 -1  apo
     2165450     3135-125-1   292.56874000    37.58466700   104.651     1.031     8.155     0.025  5004.6    86.0     2.937     0.006     0.038     0.060     1.07106638     0.31959131  12.592   0.197  11.273   0.078  11.666   0.020  10.859   0.020  10.592   0.020  10.425   0.020   9.426   0.022   8.914   0.018   8.795   0.017  1  apo
     2283075     3120-824-1   286.01809700    37.63239300    68.577     0.790     6.472     0.014  4659.8    86.0     2.738     0.006     0.136     0.060     1.36036050     0.27350885  13.059   0.274  11.570   0.110  11.754   0.020  10.827   0.020  10.511   0.020  10.327   0.020   9.234   0.022   8.703   0.021   8.564   0.018  0  apo
     2284679    3120-1266-1   286.53069900    37.66944500   198.683     0.945    16.160     0.023  4897.0    86.0     3.210     0.004    -0.526     0.060     1.05967820     0.27423117  12.903   0.237  11.654   0.120  12.034   0.020  11.339   0.020  11.068   0.020  10.925   0.020   9.923   0.024   9.456   0.023   9.335   0.021 -1  apo
     2285898     3120-818-1   286.93713900    37.69601100    24.070     0.890     3.794     0.046  4790.0    86.0     2.289     0.017    -0.221     0.060     0.61904955     0.37739393  12.517   0.189  11.229   0.081  11.626   0.020  10.777   0.020  10.461   0.020  10.282   0.020   9.231   0.024   8.716   0.018   8.568   0.017  1  apo
     2300503    3134-1895-1   290.89065200    37.66934200    13.470     0.351     1.964     0.012  4388.4    86.0     2.018     0.012    -0.230     0.060     0.89928091     0.24565233  12.445   0.216  10.763   0.063  11.205   0.020  10.115   0.020   9.736   0.020   9.487   0.020   8.267   0.026   7.632   0.029   7.517   0.036 -1  apo
     2305590      3134-58-1   292.03678900    37.61060000    49.750     0.515     5.303     0.018  4602.9    86.0     2.596     0.006    -0.362     0.060     1.30809402     0.47730675  12.507   0.193  12.375   0.210  12.492   0.020  11.541   0.020  11.175   0.020  10.947   0.020   9.829   0.022   9.235   0.019   9.128   0.018 -1  apo
     2307683     3134-170-1   292.48361700    37.68209800    39.418     0.529     4.313     0.011  4755.3    86.0     2.502     0.007    -0.245     0.060     0.26848379     0.36740005  14.382   0.506  11.954   0.159  12.403   0.020  11.487   0.020  11.143   0.020  10.924   0.020   9.823   0.021   9.262   0.020   9.132   0.017 -1  apo
     2309550     3135-120-1   292.89109100    37.66998700    50.273     1.313     5.035     0.043  4899.8    86.0     2.614     0.012    -0.096     0.060     1.22375226     0.27723604  10.792   0.038   9.598   0.021   9.873   0.020   9.107   0.020   8.870   0.020   8.714   0.020   7.682   0.020   7.203   0.023   7.113   0.020  1  apo
     2309595      3135-27-1   292.90150050    37.62448000   643.208     9.052    39.029     0.512  5152.0    77.3     3.732     0.007    -0.090     0.101     2.65507386     0.74031268  12.513   0.179  11.809   0.143  12.026   0.020  11.334   0.020  11.108   0.020  10.975   0.020  10.040   0.022   9.604   0.020   9.500   0.018  0  spc
     2422073     3120-846-1   285.88756900    37.72176000    26.404     0.601     3.252     0.014  4480.4    86.0     2.315     0.011     0.002     0.060     0.74486083     0.35941866  13.241   0.298  11.413   0.088  12.142   0.020  11.130   0.020  10.748   0.020  10.511   0.020   9.357   0.021   8.726   0.021   8.593   0.017 -1  apo
     2423824    3120-1084-1   286.46220700    37.75975000    22.215     0.630     2.726     0.038  4968.8    86.0     2.262     0.013    -0.386     0.060     0.83481264     0.31313449  12.470   0.190  11.386   0.094  11.768   0.020  10.995   0.020  10.694   0.020  10.533   0.020   9.503   0.020   9.024   0.020   8.916   0.017 -1  apo
     2424934    3120-1060-1   286.84582300    37.78524800    33.156     0.774     3.998     0.044  4839.7    86.0     2.430     0.011    -0.187     0.060     0.54626083     0.24856253  11.834   0.080  10.662   0.051  11.189   0.020  10.300   0.020   9.985   0.020   9.813   0.020   8.738   0.026   8.213   0.018   8.093   0.021  1  apo
     2424955    3120-1250-1   286.85511300    37.77943000    51.273     0.661     5.379     0.013  4699.0    86.0     2.613     0.007    -0.092     0.060     0.74883384     0.39240584  12.692   0.220  11.107   0.074  11.626   0.020  10.664   0.020  10.327   0.020  10.136   0.020   9.035   0.023   8.483   0.016   8.335   0.017 -1  apo
     2437692    3134-2258-1   290.24429000    37.79458200    44.069     1.009     4.799     0.023  4804.6    86.0     2.552     0.011     0.123     0.060    -1.45068514     0.60126829  12.281   0.139  11.633   0.110  12.080   0.020  11.163   0.020  10.842   0.020  10.652   0.020   9.532   0.021   9.018   0.022   8.885   0.017 -1  apo
     2444348      3134-36-1   291.66873200    37.70406000    30.512     0.497     3.270     0.010  4549.2    86.0     2.381     0.008     0.079     0.060     0.65174496     0.35557443  12.231   0.154  10.867   0.065  11.225   0.020  10.230   0.020   9.887   0.020   9.653   0.020   8.513   0.021   7.944   0.018   7.804   0.017 -1  apo
     2447529     3134-130-1   292.34288900    37.78140300   104.970     2.790     8.397     0.052  4969.7    86.0     2.936     0.012     0.037     0.060     0.65584362     0.35263959  13.723   0.366  12.067   0.169  12.406   0.020  11.561   0.020  11.262   0.020  11.092   0.020  10.057   0.020   9.593   0.022   9.487   0.018 -1  apo
     2447604      3134-56-1   292.35822300    37.73326900    54.930     1.549     5.055     0.022  4916.9    86.0     2.653     0.013     0.105     0.060     0.14101401     0.29197562  12.388   0.162  11.002   0.063  11.568   0.020  10.665   0.020  10.356   0.020  10.179   0.020   9.133   0.020   8.641   0.023   8.502   0.019  1  apo
     2448225     3134-121-1   292.49676000    37.78424800    36.643     2.258     3.998     0.017  4666.3    86.0     2.466     0.027     0.172     0.060     1.41106248     0.68235469  13.204   0.305  11.264   0.080  11.691   0.020  10.705   0.020  10.386   0.020  10.147   0.020   9.014   0.029   8.440   0.021   8.329   0.017  1  apo
     2450729     3135-138-1   293.07355050    37.71646000  1053.105    87.546    61.910     0.562  5868.0    77.3     3.974     0.036    -0.240     0.101     3.80817708     0.46067357  11.535   0.067  10.814   0.058  10.985   0.020  10.579   0.020  10.451   0.020  10.418   0.020   9.585   0.020   9.333   0.019   9.283   0.018  0  spc
     2451509     3135-298-1   293.24323100    37.70253400    81.703     0.621     7.141     0.016  4862.4    86.0     2.823     0.005    -0.129     0.060     1.36842024     0.38114694  11.432   0.063  10.300   0.036  10.637   0.020   9.855   0.020   9.565   0.020   9.453   0.020   8.440   0.024   7.946   0.018   7.811   0.017  0  apo
     2556640    3120-1428-1   286.58941000    37.83426300    39.817     0.759     4.423     0.037  4869.9    86.0     2.511     0.009    -0.229     0.060    -0.11408039     0.49555588  13.334   0.340  11.952   0.178  11.952   0.020  11.184   0.020  10.847   0.020  10.684   0.020   9.636   0.025   9.140   0.025   8.998   0.018 -1  apo
     2568563     3134-964-1   290.02594700    37.89453500    53.808     0.737     5.243     0.028  4703.2    86.0     2.634     0.007     0.240     0.060     0.92131734     0.31497619  13.279   0.295  11.759   0.137  12.224   0.020  11.253   0.020  10.914   0.020  10.697   0.020   9.549   0.021   8.998   0.019   8.868   0.017 -1  apo
     2583884     3135-308-1   293.19281900    37.85691800    57.075     0.882     5.522     0.017  4986.0    86.0     2.673     0.008    -0.054     0.060     1.50737727     0.51217061  11.931   0.099  10.758   0.056  11.217   0.020  10.360   0.020  10.024   0.020   9.853   0.020   8.823   0.020   8.339   0.029   8.219   0.017  1  apo
     2695267     3120-716-1   286.58046100    37.94484700    30.335     1.382     3.911     0.104  4815.2    86.0     2.391     0.020    -0.351     0.060     1.57503378     0.27786085  11.017   0.049   9.869   0.028  10.222   0.020   9.437   0.020   9.158   0.020   9.010   0.020   7.929   0.026   7.407   0.018   7.309   0.017  1  apo
     2695975    3120-1220-1   286.81630900    37.94185300    10.237     0.576     1.552     0.016  4353.9    86.0     1.897     0.025    -0.095     0.060     0.59882230     0.37102249  12.791   0.246  11.435   0.098  11.827   0.020  10.709   0.020  10.286   0.020  10.059   0.020   8.801   0.021   8.111   0.018   7.968   0.024 -1  apo
     2696732    3120-1178-1   287.06687700    37.95146900    90.921     0.629     8.334     0.014  4843.4    86.0     2.868     0.005    -0.167     0.060     1.10422480     0.37774521  13.988   0.466  12.754   0.274  12.258   0.020  11.428   0.020  11.121   0.020  10.960   0.020   9.876   0.020   9.334   0.022   9.233   0.018  0  apo
     2710472    3134-1502-1   290.85787100    37.92508700    46.397     0.511     4.669     0.018  4728.7    86.0     2.571     0.006    -0.106     0.060     0.61061573     0.49628690  13.717   0.374  12.127   0.176  12.463   0.020  11.532   0.020  11.177   0.020  10.968   0.020   9.834   0.021   9.264   0.019   9.138   0.018 -1  apo
     2711432    3134-1225-1   291.08814700    37.97059200     9.917     0.471     1.559     0.047  4336.3    86.0     1.882     0.021     0.053     0.060     1.00115824     0.37835097  12.202   0.146  10.663   0.052  11.277   0.020  10.148   0.020   9.746   0.020   9.529   0.020   8.263   0.023   7.612   0.017   7.476   0.020 -1  apo
